Year,StartPop,rN,(K-N)/K,DeltaN,Final
36,528.82339,26.4411695,0.947117661,25.04289861,553.8662886
37,553.8662886,27.69331443,0.944613371,26.1594751,580.0257637
38,580.0257637,29.00128819,0.941997424,27.31913875,607.3449025
39,607.3449025,30.36724512,0.93926551,28.52290597,635.8678084
40,635.8678084,31.79339042,0.936413219,29.77175107,665.6395595
41,665.6395595,33.28197798,0.933436044,31.06659786,696.7061574
42,696.7061574,34.83530787,0.930329384,32.40831052,729.1144679
43,729.1144679,36.4557234,0.927088553,33.79768386,762.9121518
44,762.9121518,38.14560759,0.923708785,35.23543283,798.1475846
45,798.1475846,39.90737923,0.920185242,36.7221814,834.869766
46,834.869766,41.7434883,0.916513023,38.25845067,873.1282167
47,873.1282167,43.65641083,0.912687178,39.84464642,912.9728631
48,912.9728631,45.64864315,0.908702714,41.48104591,954.453909
49,954.453909,47.72269545,0.904554609,43.16778413,997.6216931
50,997.6216931,49.88108466,0.900237831,44.90483944,1042.526533
51,1042.526533,52.12632663,0.895747347,46.69201877,1089.218551
52,1089.218551,54.46092757,0.891078145,48.5289423,1137.747494
53,1137.747494,56.88737468,0.886225251,50.41502789,1188.162522
54,1188.162522,59.40812608,0.881183748,52.34947519,1240.511997
55,1240.511997,62.02559984,0.8759488,54.33124977,1294.843246
56,1294.843246,64.74216232,0.870515675,56.35906716,1351.202314
57,1351.202314,67.56011568,0.864879769,58.43137722,1409.633691
58,1409.633691,70.48168454,0.859036631,60.54634883,1470.18004
59,1470.18004,73.50900198,0.852981996,62.70185524,1532.881895
60,1532.881895,76.64409475,0.846711811,64.89546023,1597.777355
61,1597.777355,79.88886776,0.840222264,67.12440537,1664.901761
62,1664.901761,83.24508803,0.833509824,69.38559866,1734.287359
63,1734.287359,86.71436796,0.826571264,71.67560474,1805.962964
64,1805.962964,90.2981482,0.819403704,73.99063706,1879.953601
65,1879.953601,93.99768005,0.81200464,76.32655234,1956.280153
66,1956.280153,97.81400767,0.804371985,78.67884747,2034.959001
67,2034.959001,101.74795,0.7965041,81.04265937,2116.00166
68,2116.00166,105.800083,0.788399834,83.41276788,2199.414428
69,2199.414428,109.9707214,0.780058557,85.78360227,2285.19803
70,2285.19803,114.2599015,0.771480197,88.14925133,2373.347282
71,2373.347282,118.6673641,0.762665272,90.50347749,2463.850759
72,2463.850759,123.192538,0.753614924,92.83973514,2556.690494
73,2556.690494,127.8345247,0.744330951,95.1511933,2651.841688
74,2651.841688,132.5920844,0.734815831,97.4307627,2749.27245
75,2749.27245,137.4636225,0.725072755,99.67112748,2848.943578
76,2848.943578,142.4471789,0.715105642,101.8647813,2950.808359
77,2950.808359,147.540418,0.704919164,104.0040681,3054.812427
78,3054.812427,152.7406214,0.694518757,106.0812265,3160.893654
79,3160.893654,158.0446827,0.683910635,108.0884392,3268.982093
80,3268.982093,163.4491046,0.673101791,110.017885,3378.999978
81,3378.999978,168.9499989,0.662100002,111.8617946,3490.861773
82,3490.861773,174.5430886,0.650913823,113.6125091,3604.474282
83,3604.474282,180.2237141,0.639552572,115.2625398,3719.736822
84,3719.736822,185.9868411,0.628026318,116.804631,3836.541452
85,3836.541452,191.8270726,0.616345855,118.231821,3954.773274
86,3954.773274,197.7386637,0.604522673,119.5375055,4074.310779
87,4074.310779,203.7155389,0.592568922,120.7154973,4195.026276
88,4195.026276,209.7513138,0.580497372,121.7600865,4316.786363
89,4316.786363,215.8393181,0.568321364,122.6660956,4439.452458
90,4439.452458,221.9726229,0.556054754,123.4289323,4562.881391
91,4562.881391,228.1440695,0.543711861,124.0446366,4686.926027
92,4686.926027,234.3463014,0.531307397,124.5099234,4811.435951
93,4811.435951,240.5717975,0.518856405,124.822218,4936.258169
94,4936.258169,246.8129084,0.506374183,124.9796849,5061.237854
95,5061.237854,253.0618927,0.493876215,124.9812496,5186.219103
96,5186.219103,259.3109552,0.48137809,124.8266122,5311.045716
97,5311.045716,265.5522858,0.468895428,124.5162528,5435.561968
98,5435.561968,271.7780984,0.456443803,124.0514289,5559.613397
99,5559.613397,277.9806699,0.44403866,123.4341642,5683.047561
100,5683.047561,284.1523781,0.431695244,122.6672301,5805.714792
